Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
SNX3,V2,Up,0.381521796,0.000138746,1,0.001389584,36.5,28.6
ADAMTS9-AS2,V2,Up,0.379442943,2.15E-12,7.88E-08,1.61E-10,60.2,51.9
ZFP36L1,V2,Up,0.378492789,5.82E-05,1,0.000683427,62,55.4
IFITM3,V2,Up,0.377399022,0.000347522,1,0.002951475,84,80.8
STARD4,V2,Up,0.376205943,0.01291469,1,0.052188765,37.7,30.0
GADD45B,V2,Up,0.373813056,1.45E-15,5.30E-11,1.70E-13,37.4,31.7
ATP1B3,V2,Up,0.373073346,0.017709101,1,0.066686053,28.8,23.1
CCNL1,V2,Up,0.371932744,4.34E-12,1.59E-07,3.13E-10,48.7,41.9
SOD1,V2,Up,0.370600881,0.00123328,1,0.008169627,26.7,18.6
UGP2,V2,Up,0.3694945,4.87E-05,1,0.000590722,36,31.0
ARRDC2,V2,Up,0.36772812,1.82E-07,0.006644865,5.03E-06,18.5,10.8
TPT1,V2,Up,0.367148311,1.56E-22,5.70E-18,3.73E-20,75.2,67.5
QKI,V2,Up,0.364313263,0.000308025,1,0.002664885,80.6,77.8
WNT2B,V2,Up,0.363939508,6.44E-07,0.023578459,1.51E-05,24.4,19.0
IL1RL1,V2,Up,0.362198891,1.68E-08,0.000614123,5.92E-07,13.4,8.4
OAZ1,V2,Up,0.359807091,1.41E-05,0.514325874,0.000207963,48.6,39.9
TINAGL1,V2,Up,0.355645403,3.36E-05,1,0.000434756,29.7,21.1
BNIP3L,V2,Up,0.354187712,1.53E-08,0.000559209,5.42E-07,22.9,17.7
TBX3,V2,Up,0.352175614,3.81E-15,1.39E-10,4.15E-13,32.3,25.4
GPR89B,V2,Up,0.351558128,0.029013397,1,0.097282458,13.4,8.5
FGFR1,V2,Up,0.351519494,8.23E-09,0.00030128,3.14E-07,23.4,19.7
CRYAB,V2,Up,0.348898506,6.14E-05,1,0.000713385,11.1,7.8
SORBS1,V2,Up,0.347350074,0.000549151,1,0.00430279,81.3,78.7
NUFIP2,V2,Up,0.345860324,0.000246375,1,0.002238366,45.7,38.4
LDLR,V2,Up,0.345334146,0.009851577,1,0.042203591,26.9,21.3
PICALM,V2,Up,0.34510638,1.93E-05,0.706451109,0.000270392,82.6,79.6
YES1,V2,Up,0.341111076,5.97E-07,0.021841923,1.42E-05,49.5,44.7
SLC2A3,V2,Up,0.340704525,3.53E-17,1.29E-12,5.10E-15,69.5,62.4
TCEAL9,V2,Up,0.3399731,0.011807208,1,0.048651255,17.8,10.9
KLF7,V2,Up,0.339140196,0.00027321,1,0.002439261,39.4,31.8
CALD1,V2,Up,0.338074116,3.44E-06,0.126016767,6.39E-05,42.9,39.3
MORF4L2,V2,Up,0.337061551,2.68E-05,0.98263476,0.000359781,28.9,22.4
TCP1,V2,Up,0.336862186,0.00196392,1,0.011773698,22.1,15.5
PLEKHG1,V2,Up,0.335884418,5.59E-12,2.05E-07,3.97E-10,73.9,70.7
CALCOCO2,V2,Up,0.335603599,2.36E-09,8.63E-05,1.03E-07,35.7,28.5
SAMD4A,V2,Up,0.331695869,7.08E-19,2.59E-14,1.22E-16,30.5,27.1
TRIM26,V2,Up,0.331185173,0.001332362,1,0.008673759,15.2,10.1
PERP,V2,Up,0.330985434,2.91E-10,1.06E-05,1.58E-08,32.6,25.0
CHIC2,V2,Up,0.330556148,0.005376964,1,0.026383886,35.8,30.7
MAP1LC3B,V2,Up,0.330514614,1.05E-18,3.85E-14,1.77E-16,25.2,18.1
TIMP3,V2,Up,0.330022341,0.000854491,1,0.006115549,61,53.5
CNST,V2,Up,0.329378936,3.00E-08,0.001096479,1.00E-06,31.5,26.7
ADM,V2,Up,0.32359093,1.49E-23,5.45E-19,4.11E-21,25.4,18.7
STAT3,V2,Up,0.322930326,3.20E-13,1.17E-08,2.71E-11,67.8,64.2
B2M,V2,Up,0.322892826,2.95E-36,1.08E-31,2.01E-33,88.1,90.0
AL929091.1,V2,Up,0.321740536,6.94E-10,2.54E-05,3.46E-08,48.2,44.4
RTN4,V2,Up,0.319053626,0.000437003,1,0.003564402,58.3,53.3
ZNF83,V2,Up,0.317315928,0.018819005,1,0.069921215,41.4,37.1
RIMKLB,V2,Up,0.316521577,7.51E-16,2.75E-11,9.34E-14,56.8,50.7
BHLHE40,V2,Up,0.316436952,0.007314167,1,0.033389621,44.5,37.7
SKIL,V2,Up,0.316413121,0.007154305,1,0.03285854,28.4,21.9
IFITM2,V2,Up,0.315852727,5.19E-09,0.000190058,2.08E-07,68.1,61.6
BST2,V2,Up,0.312638285,4.01E-20,1.47E-15,7.71E-18,57.5,50.5
PGK1,V2,Up,0.311730714,8.37E-06,0.306309949,0.000135276,41.4,35.1
CDKN1B,V2,Up,0.311639451,5.99E-10,2.19E-05,3.03E-08,20.3,13.3
FOSL2,V2,Up,0.311467121,0.025092048,1,0.087114839,51.4,44.8
CAVIN2,V2,Up,0.311016855,1.69E-08,0.000619453,5.96E-07,59.8,52.9
IFI27,V2,Up,0.309937184,1.10E-16,4.03E-12,1.48E-14,68.1,67.9
DDX3X,V2,Up,0.308790733,4.59E-08,0.001681018,1.48E-06,42.7,37.1
AKAP12,V2,Up,0.306325024,9.14E-25,3.35E-20,2.96E-22,49.2,44.9
RPL41,V2,Up,0.305779911,1.43E-28,5.22E-24,6.19E-26,59.7,54.7
BTG1,V2,Up,0.305742247,1.89E-18,6.90E-14,3.08E-16,40.9,32.2
ATF4,V2,Up,0.305161181,0.000528598,1,0.004169663,23.2,16.0
ACTG1,V2,Up,0.304417166,2.49E-09,9.10E-05,1.08E-07,59.6,55.1
ZFP36,V2,Up,0.304378235,3.25E-05,1,0.000424412,27.4,21.5
DDIT4,V2,Up,0.303777443,1.39E-25,5.11E-21,4.90E-23,28.9,23.9
GNG5,V2,Up,0.303185835,3.19E-05,1,0.000418167,34.1,27.0
MIF,V2,Up,0.30317272,9.35E-24,3.42E-19,2.72E-21,42.2,39.3
YY1,V2,Up,0.302108461,3.64E-05,1,0.00046543,37.1,30.4
NMT2,V2,Up,0.298570796,2.70E-14,9.87E-10,2.74E-12,24.3,19.9
PELI1,V2,Up,0.298160154,5.60E-07,0.020488217,1.35E-05,49.1,43.9
IER2,V2,Up,0.296750718,0.00143567,1,0.009210974,30.5,24.8
RPS23,V2,Up,0.295586263,1.68E-28,6.16E-24,7.00E-26,59.4,55.0
RANGAP1,V2,Up,0.293870577,3.25E-06,0.11889799,6.10E-05,16.5,11.3
CLEC2B,V2,Up,0.29150895,1.99E-15,7.30E-11,2.28E-13,34.9,30.1
MPDZ,V2,Up,0.291194249,1.78E-07,0.006523846,4.96E-06,55.2,51.4
ARL5B,V2,Up,0.291001503,0.002928957,1,0.01640586,19.1,13.7
ITGB1,V2,Up,0.290670207,0.005940155,1,0.02849569,63.4,58.0
ELOVL5,V2,Up,0.290042652,0.003641138,1,0.019418451,32,27.2
MT-ATP6,V2,Up,0.28834805,5.35E-21,1.96E-16,1.10E-18,94.1,91.8
TSC22D3,V2,Up,0.28362314,2.05E-15,7.49E-11,2.32E-13,29.3,23.4
IRF2BP2,V2,Up,0.282874594,0.016652016,1,0.063639328,27.1,21.1
YBX3,V2,Up,0.282871961,5.73E-30,2.10E-25,2.59E-27,63.2,60.6
NSUN6,V2,Up,0.279692099,6.13E-05,1,0.000713385,35.2,31.3
ST8SIA6,V2,Up,0.279625397,2.17E-17,7.95E-13,3.28E-15,65.1,64.3
KTN1,V2,Up,0.278385127,0.000700391,1,0.005179996,71.4,67.4
RPS21,V2,Up,0.277119856,3.41E-10,1.25E-05,1.82E-08,41.4,35.3
G3BP1,V2,Up,0.276358337,7.18E-05,1,0.000811169,38.3,34.8
HLA-C,V2,Up,0.275997668,5.38E-10,1.97E-05,2.75E-08,57.8,55.4
TPI1,V2,Up,0.275417395,1.61E-18,5.88E-14,2.64E-16,41.4,35.4
TM4SF18,V2,Up,0.271402594,7.35E-05,1,0.00082536,41.3,36.4
CA4,V2,Up,0.271078839,3.92E-13,1.43E-08,3.25E-11,13.6,9.4
ANKRD12,V2,Up,0.271066516,0.018252108,1,0.068313023,71.9,67.9
MKNK2,V2,Up,0.270450038,0.000557731,1,0.004353974,23.1,17.8
MYL12B,V2,Up,0.269969465,7.60E-07,0.027825144,1.75E-05,47.5,43.1
ELF1,V2,Up,0.269921881,0.001683992,1,0.010373165,54.7,49.3
KLHL24,V2,Up,0.267696476,0.003062307,1,0.016960253,29,24.1
RPL30,V2,Up,0.267038348,2.90E-11,1.06E-06,1.84E-09,40.4,34.7
RPS26,V2,Up,0.26699715,0.000452227,1,0.003673872,37.9,33.1
PAPOLA,V2,Up,0.266514362,2.52E-05,0.922771739,0.000341323,51.5,48.0
FOXC1,V2,Up,0.266141769,5.00E-05,1,0.000603583,37.6,32.5
MYCT1,V2,Up,0.264609181,0.005227218,1,0.025873333,35.3,30.8
RYBP,V2,Up,0.264254343,0.001506154,1,0.009551939,42.9,37.3
ADGRB3,V2,Up,0.263089741,0.000719315,1,0.005296889,27.3,25.2
GRASP,V2,Up,0.263081142,1.04E-11,3.80E-07,7.05E-10,36.8,31.6
KCNIP4,V2,Up,0.262536876,0.018119053,1,0.067877348,10,7.7
PITPNB,V2,Up,0.262160286,0.025654286,1,0.088524006,40.2,34.9
GNAS,V2,Up,0.261526612,3.16E-09,0.000115565,1.34E-07,76.3,71.2
ANXA1,V2,Up,0.261364694,0.000791264,1,0.005745759,27.8,23.2
MGAT1,V2,Up,0.260445809,0.00479667,1,0.02411705,43.6,39.3
EIF5,V2,Up,0.259741668,0.008199803,1,0.036532586,30.6,25.3
ATP5F1E,V2,Up,0.259294524,6.24E-13,2.29E-08,5.01E-11,39.7,35.5
UBR1,V2,Up,0.258208877,1.42E-06,0.051831189,2.98E-05,42.5,39.8
SESTD1,V2,Up,0.257889762,0.010556469,1,0.044549175,61.1,59.3
