Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
PINK1,V1,Up,0.15800718,1.02E-05,0.371575592,0.000141086,25.7,25.3
NOTCH1,V1,Up,0.157559724,0.001700128,1,0.008390682,30,31.4
FOXO3,V1,Up,0.157138664,0.018000701,1,0.053463158,42.1,43.3
KIF13A,V1,Up,0.156732069,2.08E-06,0.076093221,4.04E-05,33,37.8
GIMAP1,V1,Up,0.156513359,3.96E-08,0.001448556,1.46E-06,18,16.5
VKORC1,V1,Up,0.156474509,0.028772112,1,0.077070931,12.4,11.0
UXT,V1,Up,0.156116482,0.004039274,1,0.0163613,11.3,9.6
FAM89A,V1,Up,0.155604328,1.46E-06,0.053356591,3.00E-05,26.1,26.4
G3BP1,V1,Up,0.155024194,0.007036527,1,0.025453191,36.4,39.0
DEK,V1,Up,0.154903993,9.88E-05,1,0.000882156,29.6,30.8
C5orf24,V1,Up,0.154862913,1.17E-05,0.427851683,0.000159266,18.7,18.4
SRSF7,V1,Up,0.154769094,3.09E-05,1,0.000350914,33.9,35.6
FDPS,V1,Up,0.154576583,6.55E-05,1,0.000638525,27.6,28.2
TBPL1,V1,Up,0.154394483,0.00579417,1,0.021831099,18,17.6
PLAAT3,V1,Up,0.153822365,3.71E-10,1.36E-05,2.27E-08,27,27.4
HHEX,V1,Up,0.153806191,0.003533226,1,0.01476809,11.7,10.6
TMEM35B,V1,Up,0.153599554,4.10E-05,1,0.000441448,10.8,9.1
MAOA,V1,Up,0.153088462,0.011383835,1,0.037217208,26.1,26.5
PAWR,V1,Up,0.152757367,1.77E-05,0.646926973,0.000222214,27.7,29.8
UBE2D3,V1,Up,0.152481608,8.25E-07,0.030182914,1.87E-05,58.1,63.1
SCAND1,V1,Up,0.15192819,0.000819477,1,0.004705444,13.9,12.4
LAMA5,V1,Up,0.151599959,1.14E-08,0.000418894,4.79E-07,31.8,33.7
NDUFB1,V1,Up,0.151496591,0.002790797,1,0.01231996,14.3,13.7
MRPL52,V1,Up,0.151094565,0.016815262,1,0.050671464,11.2,9.5
INTS6,V1,Up,0.150444711,0.003054697,1,0.013181856,33.2,35.3
EIF3F,V1,Up,0.150421786,0.002061882,1,0.009728909,17.9,17.2
UBE2L6,V1,Up,0.150260704,0.001694661,1,0.008366451,13.2,11.9
MBOAT7,V1,Up,0.150254046,0.004799588,1,0.018776528,10.5,10.1
GATA2,V1,Up,0.150188846,0.002777307,1,0.012276014,17.7,16.4
NDUFA4,V1,Up,0.14983647,0.009351902,1,0.032000463,23.3,23.0
PSMB6,V1,Up,0.149762005,0.000425858,1,0.002810986,13.3,11.9
ARPC3,V1,Up,0.149703929,0.003712559,1,0.015363535,28.2,29.0
SSR2,V1,Up,0.149200008,0.005584331,1,0.021197666,16.8,15.5
IGFBP7,V1,Up,0.149188169,8.68E-05,1,0.000798267,76.1,77.9
C17orf67,V1,Up,0.148734488,0.002861305,1,0.012549875,11.6,10.7
PPP4C,V1,Up,0.148425697,0.012561587,1,0.040239462,11.9,10.8
SLC30A1,V1,Up,0.148423498,3.83E-05,1,0.000418177,46.1,49.9
EMP2,V1,Up,0.148176617,0.007473556,1,0.026695665,61,64.8
TRA2B,V1,Up,0.14810115,0.000118163,1,0.001016421,33.4,36.2
SF3B6,V1,Up,0.147679168,0.000573994,1,0.003579,12,10.9
ARF1,V1,Up,0.147612965,5.49E-06,0.20091074,8.72E-05,32.4,32.9
PLXNA2,V1,Up,0.147541129,4.26E-14,1.56E-09,4.72E-12,53.1,54.8
CCT2,V1,Up,0.147378098,0.01816613,1,0.053819164,15.6,15.2
EEF1D,V1,Up,0.147225879,0.000144613,1,0.001194995,32,33.2
SLC25A5,V1,Up,0.147177231,0.003859599,1,0.015824282,14.1,12.5
RUVBL1,V1,Up,0.147046727,0.004051576,1,0.01640156,12.8,12.1
SOX17,V1,Up,0.146128917,1.54E-05,0.56385256,0.000198224,10.4,9.2
ATP1A1,V1,Up,0.145808862,3.14E-07,0.011485086,8.40E-06,43.2,44.4
SRGAP2B,V1,Up,0.145353599,0.011873388,1,0.038497498,34.8,36.1
COPA,V1,Up,0.145073712,2.27E-07,0.008304726,6.39E-06,32.8,34.7
IRF7,V1,Up,0.144802849,0.000213017,1,0.001626677,15.5,14.7
CTTNBP2NL,V1,Up,0.144706604,3.18E-05,1,0.000357637,44.2,47.1
PSMB1,V1,Up,0.144656081,4.91E-06,0.179851255,8.00E-05,22.6,23.1
MRPL41,V1,Up,0.144637085,0.00596076,1,0.022293457,12.4,11.1
UQCRH,V1,Up,0.144572145,3.60E-05,1,0.000396913,13.8,12.7
RTRAF,V1,Up,0.144222386,0.000935923,1,0.005242579,15.6,15.2
FN1,V1,Up,0.143994565,2.64E-11,9.68E-07,1.97E-09,55.6,59.0
HPSE2,V1,Up,0.14346295,2.21E-13,8.10E-09,2.28E-11,12.5,11.5
NR2F2,V1,Up,0.142849904,0.002428923,1,0.011055127,11.8,10.5
SEMA6B,V1,Up,0.142712021,0.002242854,1,0.010394468,26.7,29.4
MLF2,V1,Up,0.142188978,4.94E-08,0.001808,1.77E-06,12.4,11.5
SRSF5,V1,Up,0.142186437,0.000236282,1,0.001764239,40.1,43.0
ZADH2,V1,Up,0.14216353,0.000232418,1,0.001741007,15.2,15.8
KAT2B,V1,Up,0.141304652,0.000192837,1,0.001500631,21.3,21.6
MIDN,V1,Up,0.141155042,0.00043736,1,0.002868732,31.1,34.1
ZBTB18,V1,Up,0.141127319,0.000972075,1,0.005388578,12.9,12.3
GNA13,V1,Up,0.141093611,1.33E-05,0.4872331,0.000177086,29.2,30.7
MT-CO1,V1,Up,0.141032815,2.35E-05,0.861006361,0.000278598,85.6,88.6
SNHG7,V1,Up,0.140786178,8.60E-07,0.031479633,1.94E-05,13.6,12.7
NFKBIZ,V1,Up,0.140701721,0.003733469,1,0.015416378,13.2,13.7
WWC2,V1,Up,0.140644773,1.37E-15,5.03E-11,1.76E-13,58,61.5
JADE1,V1,Up,0.140528032,0.00167966,1,0.008309351,14.5,14.7
CCT7,V1,Up,0.140143431,0.009655476,1,0.032800989,15.5,15.1
MORF4L1,V1,Up,0.140111319,3.90E-06,0.142634378,6.70E-05,40.7,43.0
POLR2F,V1,Up,0.139846743,0.000774262,1,0.004492879,10.2,9.2
GIMAP5,V1,Up,0.139646859,1.87E-05,0.682669274,0.000232248,33.5,35.9
RAD21,V1,Up,0.139584602,4.82E-06,0.176479757,7.90E-05,27.4,29.2
ROBO4,V1,Up,0.139318006,2.65E-07,0.009712887,7.28E-06,28.6,29.5
PSMB4,V1,Up,0.13929073,0.000824162,1,0.004727134,15.4,14.2
ATP5F1D,V1,Up,0.139064615,0.000389656,1,0.002626963,18.5,18.2
AC016831.7,V1,Up,0.13874614,0.011100097,1,0.036507297,22.6,23.4
PRMT2,V1,Up,0.138487441,5.17E-08,0.001891112,1.83E-06,36.6,39.8
TDRP,V1,Up,0.138468726,2.28E-07,0.008347547,6.41E-06,35.5,37.2
ADRM1,V1,Up,0.138357073,0.001949735,1,0.009316488,11.8,9.8
SELENOT,V1,Up,0.137842533,0.026739849,1,0.072673782,19.5,19.1
SIVA1,V1,Up,0.137476721,0.004619679,1,0.01822082,11.7,10.6
ITPRID2,V1,Up,0.137457565,0.00297552,1,0.012932619,38.3,40.8
MGAT1,V1,Up,0.137445201,5.99E-05,1,0.00059513,42.8,44.6
RAP2A,V1,Up,0.137368345,0.010597345,1,0.035188427,23.1,23.0
ROMO1,V1,Up,0.13663855,9.04E-05,1,0.000824479,11.1,10.4
SYF2,V1,Up,0.136407639,9.59E-06,0.351010595,0.000134846,14.1,13.7
NDUFB9,V1,Up,0.136189739,9.32E-07,0.034109601,2.07E-05,13.5,12.4
TPM4,V1,Up,0.13582933,3.01E-06,0.110253909,5.48E-05,43.2,46.1
ACSL3,V1,Up,0.135751979,4.05E-05,1,0.000436429,41.1,44.8
ATP5PO,V1,Up,0.135580684,0.005653382,1,0.021412956,11.9,10.8
CHMP2A,V1,Up,0.135502002,0.003239924,1,0.013808122,13.9,13.1
MAGED2,V1,Up,0.135484627,0.000688447,1,0.004116457,14.8,13.9
NDUFB3,V1,Up,0.135453423,0.016206385,1,0.049236024,10.3,8.7
HNRNPAB,V1,Up,0.135424755,5.82E-05,1,0.000583796,12.3,11.6
GNAI2,V1,Up,0.134941727,0.000334772,1,0.002320217,58.9,61.4
DHRS7,V1,Up,0.134820649,4.02E-06,0.147020629,6.85E-05,15.3,14.4
MRPL14,V1,Up,0.134416466,5.42E-05,1,0.00055182,14.3,13.1
TBCB,V1,Up,0.134255813,5.98E-06,0.218884038,9.30E-05,12.6,11.3
RGL2,V1,Up,0.133994158,0.01709418,1,0.051297315,14.7,14.8
HMGB2,V1,Up,0.133647688,0.000182356,1,0.001438411,10.5,9.5
RBX1,V1,Up,0.133640171,0.000216258,1,0.001644191,19.5,19.1
CCNI,V1,Up,0.133613209,9.97E-06,0.365040657,0.000138975,46.5,48.9
DNAJC8,V1,Up,0.133557637,0.00300492,1,0.013027783,17.9,17.4
UVRAG,V1,Up,0.133179994,0.018669516,1,0.054955963,53.4,58.4
PSMB8,V1,Up,0.132999672,6.92E-05,1,0.000666644,15.9,15.5
FAM43A,V1,Up,0.132492661,5.58E-06,0.20410855,8.83E-05,14.7,13.7
PDE3B,V1,Up,0.131846269,0.013986573,1,0.04384775,21.4,23.8
CDV3,V1,Up,0.131844535,3.47E-06,0.126967537,6.09E-05,17.2,17.7
CCDC50,V1,Up,0.131829273,0.00041482,1,0.002759112,53.9,57.6
MAGOH,V1,Up,0.131800636,0.000282899,1,0.002032893,11,9.8
H1FX,V1,Up,0.131690746,3.43E-09,0.000125386,1.66E-07,17.2,18.0
SPOCK3,V1,Up,0.131494662,4.12E-17,1.51E-12,6.39E-15,43.4,43.2
VAT1,V1,Up,0.131353938,4.79E-07,0.017519189,1.20E-05,18.9,19.2
BCL10,V1,Up,0.131069287,0.000855609,1,0.004876622,11.1,10.2
DAB2,V1,Up,0.13099903,0.012943258,1,0.041222131,10,8.0
SIGIRR,V1,Up,0.130979922,1.54E-05,0.563257517,0.000198224,16.5,16.0
SNRPB2,V1,Up,0.130918489,0.000927318,1,0.005199969,13.8,13.1
SDF2,V1,Up,0.130891266,0.000360751,1,0.002462986,10.3,9.4
SAV1,V1,Up,0.130832542,0.001923451,1,0.009219817,19.7,19.4
CDC34,V1,Up,0.130770109,3.99E-08,0.001459868,1.47E-06,16.1,15.5
TENT4A,V1,Up,0.130643343,0.007911589,1,0.027925432,17.8,18.9
PEAR1,V1,Up,0.130628319,0.003210385,1,0.013710281,15.7,14.8
NES,V1,Up,0.130616091,8.35E-11,3.06E-06,5.78E-09,25.8,26.3
ZFPM2,V1,Up,0.130610622,1.12E-08,0.000408706,4.69E-07,44.3,45.9
ANKRA2,V1,Up,0.130607851,1.40E-09,5.12E-05,7.49E-08,15.1,15.2
RAD23A,V1,Up,0.130554473,9.61E-05,1,0.000863408,16.6,16.5
LSM7,V1,Up,0.130314704,0.000171855,1,0.001371678,10.2,9.2
ECH1,V1,Up,0.130053589,0.001506113,1,0.007614554,13.2,12.3
LGALS3,V1,Up,0.130026254,5.36E-22,1.96E-17,1.31E-19,39.9,42.0
RAB2A,V1,Up,0.1300183,2.08E-05,0.761900672,0.000253003,40.7,43.6
RHOQ,V1,Up,0.130017861,6.48E-05,1,0.000633212,18.3,19.3
EEF2,V1,Up,0.130016752,0.001997802,1,0.009484553,33.5,35.9
UTP23,V1,Up,0.129876935,0.020071328,1,0.058097249,10,9.6
UBALD2,V1,Up,0.129823645,0.001030074,1,0.005641034,14.7,14.0
DDAH2,V1,Up,0.129793379,1.26E-05,0.461871696,0.000169273,16.1,16.0
SLC12A2,V1,Up,0.1296889,0.0029613,1,0.012884253,42.2,42.9
TLE1,V1,Up,0.129323908,1.93E-14,7.07E-10,2.20E-12,31.7,32.5
SUMO1,V1,Up,0.129284502,0.012517959,1,0.040125268,14.7,14.0
CNOT6L,V1,Up,0.128960032,5.95E-18,2.18E-13,1.01E-15,65.6,68.9
PRKAR1A,V1,Up,0.12883018,0.003271637,1,0.013909349,32,34.8
CMTM8,V1,Up,0.128827385,0.000288618,1,0.002064019,53.5,55.3
CLTA,V1,Up,0.128736208,0.014660245,1,0.045473826,22.6,23.0
PDLIM2,V1,Up,0.128573668,0.005114179,1,0.01973302,10.9,9.4
PET100,V1,Up,0.128265593,0.034798226,1,0.089440671,13.8,13.6
CSNK2B,V1,Up,0.128249804,0.002500255,1,0.011330285,13.5,12.8
AMD1,V1,Up,0.128221367,0.009852622,1,0.033314367,23.1,23.3
BRD2,V1,Up,0.12819335,0.00173364,1,0.008505698,21.6,23.0
EIF3G,V1,Up,0.1280386,5.08E-07,0.018589556,1.26E-05,14.7,14.2
CYLD,V1,Up,0.127668695,7.32E-16,2.68E-11,9.90E-14,37.5,41.0
FAM32A,V1,Up,0.127567581,0.001510528,1,0.00763214,10.1,8.7
EGFL7,V1,Up,0.127485607,1.97E-06,0.071974187,3.85E-05,82.5,84.6
SEC62,V1,Up,0.127155841,0.000103761,1,0.000914749,37.5,40.2
HBP1,V1,Up,0.126919336,3.98E-07,0.01456474,1.02E-05,23.8,24.9
CUTA,V1,Up,0.126741094,0.000321303,1,0.002248827,10,9.0
RPL4,V1,Up,0.126698102,1.04E-06,0.038194962,2.27E-05,22.9,24.5
ATP6V1D,V1,Up,0.126409237,1.51E-09,5.53E-05,7.98E-08,16.3,15.4
GNB2,V1,Up,0.126236935,3.91E-08,0.00143214,1.45E-06,21.1,21.5
PPP1CA,V1,Up,0.126034126,0.033816873,1,0.087490448,14.1,13.4
XPO1,V1,Up,0.125928464,0.003751238,1,0.015465718,29.1,33.2
ARPC5,V1,Up,0.125595404,0.000281318,1,0.002023622,18.7,19.1
TMPO,V1,Up,0.125514104,0.001760155,1,0.008603368,28,29.4
RPS19BP1,V1,Up,0.125490923,0.006401818,1,0.023583141,13.3,12.9
VCL,V1,Up,0.125477181,8.14E-13,2.98E-08,7.82E-11,25.8,28.5
ITGB3BP,V1,Up,0.124992561,0.017995893,1,0.053456502,13.5,13.3
IL18R1,V1,Up,0.12481671,3.77E-06,0.137954068,6.52E-05,31.5,31.9
ORAI1,V1,Up,0.124493816,3.85E-05,1,0.000419991,12.6,11.7
CNST,V1,Up,0.1243699,2.92E-08,0.00106795,1.12E-06,28.6,32.3
ATP5MPL,V1,Up,0.124035135,0.004056653,1,0.016412545,14.3,13.6
CDH5,V1,Up,0.123839753,4.94E-06,0.18072842,8.02E-05,41.9,45.1
MZT2B,V1,Up,0.123786985,0.000271718,1,0.001970899,17.2,16.4
CGGBP1,V1,Up,0.123387237,0.001243963,1,0.00656389,23.4,23.9
USPL1,V1,Up,0.123346745,5.14E-06,0.188295366,8.28E-05,11.1,11.7
ATN1,V1,Up,0.123196162,0.008982778,1,0.030920231,25,26.2
ARPC2,V1,Up,0.123089225,9.59E-08,0.003508427,3.12E-06,34.3,37.3
NDUFS7,V1,Up,0.123082471,0.001035851,1,0.005668203,12.1,11.7
ITIH5,V1,Up,0.122872817,4.16E-08,0.001521925,1.52E-06,59.4,61.0
IRF9,V1,Up,0.122814295,5.14E-07,0.018820449,1.28E-05,17.4,17.6
DYNC1I2,V1,Up,0.122801504,7.12E-07,0.02607028,1.67E-05,34.6,37.4
MXRA7,V1,Up,0.122737472,5.67E-05,1,0.000571376,19.6,20.1
TRIP10,V1,Up,0.122726665,0.000608714,1,0.003738421,11.4,10.6
RIMS2,V1,Up,0.122462347,0.021889079,1,0.062132892,10.4,9.1
ERP29,V1,Up,0.122073421,0.004017672,1,0.016305502,10.5,9.1
RASGRP2,V1,Up,0.122043476,0.013247549,1,0.041960308,10.1,8.9
SAP18,V1,Up,0.121768864,1.52E-05,0.558055518,0.000196794,15.6,15.4
ERH,V1,Up,0.121443296,0.006870436,1,0.024947693,14.3,14.1
RAB11A,V1,Up,0.121224057,1.14E-06,0.041854903,2.45E-05,43.4,46.1
TRAPPC5,V1,Up,0.121092119,0.000299287,1,0.002122828,12,11.9
NOC3L,V1,Up,0.120854871,3.54E-06,0.129529766,6.17E-05,19.3,19.7
GKAP1,V1,Up,0.120633965,0.000354808,1,0.002429772,18.2,19.3
AHNAK,V1,Up,0.120626238,2.45E-11,8.96E-07,1.85E-09,39.7,42.5
WBP4,V1,Up,0.120615418,3.51E-07,0.012839558,9.25E-06,17.4,17.3
PURA,V1,Up,0.120532194,0.001132644,1,0.006092236,29,31.1
RBMS3-AS3,V1,Up,0.12043373,8.15E-09,0.000298233,3.63E-07,26.5,26.4
ZFP36L2,V1,Up,0.120376612,3.28E-06,0.120194592,5.84E-05,14.7,14.8
RPS2,V1,Up,0.120253424,0.014170078,1,0.044316328,44.8,47.4
STAG2,V1,Up,0.120233275,7.82E-05,1,0.000739177,37,41.1
IST1,V1,Up,0.120177511,0.009004983,1,0.030981305,21.9,23.4
MTFP1,V1,Up,0.120084578,2.14E-11,7.82E-07,1.67E-09,10.7,10.0
N4BP2L2,V1,Up,0.119934187,1.21E-05,0.441748336,0.000163159,67.3,73.5
PFDN2,V1,Up,0.119735326,0.001507376,1,0.007618063,13.5,13.3
MOSMO,V1,Up,0.119608355,2.27E-12,8.31E-08,2.06E-10,43.2,46.2
TRIM56,V1,Up,0.119436045,0.000349177,1,0.002399888,24.3,25.8
CCT8,V1,Up,0.119427065,0.000560433,1,0.003513372,20.6,22.2
CREB1,V1,Up,0.119389534,2.43E-06,0.089001126,4.63E-05,31.7,33.5
NDUFB8,V1,Up,0.119345379,2.08E-05,0.761352729,0.000252969,19.8,20.6
IL6ST,V1,Up,0.119307842,5.69E-06,0.208240159,8.97E-05,54.1,58.3
MRPL51,V1,Up,0.11921753,0.001984113,1,0.009436765,10.1,9.1
MAT2A,V1,Up,0.119184705,3.77E-06,0.13790943,6.52E-05,16.5,17.3
SLC16A1-AS1,V1,Up,0.11912403,5.33E-05,1,0.000544169,27.2,28.4
NPC2,V1,Up,0.118991081,0.00914989,1,0.031412411,11.7,11.0
RPN1,V1,Up,0.118883806,0.006206812,1,0.022982634,17.5,18.4
HNRNPH2,V1,Up,0.118822339,0.001442433,1,0.007355878,12,11.4
ATAD2,V1,Up,0.118795564,9.57E-06,0.350119211,0.000134656,12.7,12.1
SET,V1,Up,0.118405678,0.000157051,1,0.001277001,24,25.3
TRAPPC1,V1,Up,0.118134273,0.008305815,1,0.029055707,11.3,10.4
POLR1D,V1,Up,0.117925897,1.06E-06,0.038788331,2.29E-05,13.7,13.4
RPL31,V1,Up,0.117651761,0.000217269,1,0.001650072,22.3,24.0
HEBP2,V1,Up,0.116922937,0.003722113,1,0.015396955,21.4,22.4
EVA1B,V1,Up,0.116879652,0.010371948,1,0.034620803,17.4,17.5
SRSF3,V1,Up,0.116480924,3.70E-05,1,0.00040662,26.8,28.3
IPPK,V1,Up,0.116352693,0.000997511,1,0.005497396,12.1,11.4
CRK,V1,Up,0.115696624,0.005504691,1,0.020975622,26.1,28.1
PLS3,V1,Up,0.115621247,0.000147133,1,0.001211885,24.5,27.2
LMO4,V1,Up,0.115519779,0.001869107,1,0.009006799,13.9,13.7
NME3,V1,Up,0.115505534,0.000235166,1,0.001757164,15.2,15.5
SOX7,V1,Up,0.115352012,0.004226937,1,0.016982747,21.3,23.0
FTL,V1,Up,0.115168229,2.02E-07,0.007403881,5.83E-06,70.8,72.8
SELENOM,V1,Up,0.114919605,0.000424824,1,0.002807353,17.9,18.3
PDS5B,V1,Up,0.114756535,0.000228315,1,0.001719547,45.7,49.8
BOLA2,V1,Up,0.114565593,0.006499806,1,0.023876556,25.4,27.4
SNRPD2,V1,Up,0.114251467,0.002648624,1,0.011850546,11.9,11.5
MARCKSL1,V1,Up,0.113754819,0.000985205,1,0.005436768,10.5,9.2
KLF9,V1,Up,0.113753171,0.003223854,1,0.013750888,23.8,25.9
NDUFS8,V1,Up,0.113731939,0.005490488,1,0.020940651,12,11.7
LATS2,V1,Up,0.113691503,1.37E-09,5.00E-05,7.35E-08,24.6,26.4
TMEM189,V1,Up,0.113575198,1.63E-05,0.597688946,0.000208318,12.5,13.0
TM9SF2,V1,Up,0.113495289,3.35E-06,0.122489408,5.91E-05,30.5,32.6
MRPS18C,V1,Up,0.113380452,0.000452709,1,0.002953596,11.6,11.4
BAIAP2,V1,Up,0.11319944,4.91E-12,1.80E-07,4.26E-10,12.5,12.3
BEX3,V1,Up,0.113177107,0.002934321,1,0.012788376,13.9,12.8
STAT3,V1,Up,0.113116899,1.28E-11,4.70E-07,1.03E-09,65.3,70.8
SMARCA1,V1,Up,0.112819209,9.13E-05,1,0.000830883,10.3,11.5
TNFRSF1A,V1,Up,0.112783718,7.64E-07,0.027953248,1.76E-05,22.9,24.9
SON,V1,Up,0.112579848,0.020177552,1,0.05833987,68.1,72.6
SHC2,V1,Up,0.112526918,9.86E-06,0.361023785,0.000137823,34.8,37.5
TAF7,V1,Up,0.112450752,0.00028087,1,0.002021103,16.6,17.6
EIF5A,V1,Up,0.112320424,0.000109155,1,0.000953026,12.5,12.1
COMT,V1,Up,0.112005578,0.000440002,1,0.002884239,13,12.4
PWWP3A,V1,Up,0.111983564,1.22E-05,0.446309896,0.00016431,27.3,30.1
TTN,V1,Up,0.111941092,7.24E-06,0.264961577,0.000108156,11.9,10.8
CCNDBP1,V1,Up,0.111746316,2.35E-06,0.085927619,4.49E-05,10,9.1
PPP1CC,V1,Up,0.111726002,8.58E-06,0.314030625,0.000123607,15.9,17.0
AC018362.1,V1,Up,0.111724605,0.002145994,1,0.010032616,13.6,14.3
KAT2A,V1,Up,0.111548019,0.015398096,1,0.04726984,11.2,10.9
MIR222HG,V1,Up,0.111422184,5.54E-05,1,0.000560178,20.4,21.8
RBM17,V1,Up,0.111364873,5.50E-07,0.020147722,1.35E-05,51.4,55.1
SUN2,V1,Up,0.111363029,4.21E-05,1,0.000451435,14.4,14.5
NRIP1,V1,Up,0.111322807,0.002254342,1,0.010436101,32.8,36.5
MSL3,V1,Up,0.111189157,0.006151451,1,0.022838538,15,15.8
CBX3,V1,Up,0.110964272,0.003934348,1,0.016054913,16.6,17.0
KPNA4,V1,Up,0.110940253,0.000693114,1,0.004133281,30.9,34.7
MAT2B,V1,Up,0.110652468,0.020027751,1,0.058013785,10.7,10.0
FXYD5,V1,Up,0.110573053,8.95E-08,0.003277183,2.94E-06,22.7,24.7
PRELID1,V1,Up,0.11057111,0.002694492,1,0.011996507,16.5,16.2
MXI1,V1,Up,0.110566428,0.000404581,1,0.002706948,34.7,36.5
COMMD6,V1,Up,0.110428369,0.000127118,1,0.001074288,10.4,10.2
CTSD,V1,Up,0.110105117,0.010510665,1,0.034966172,23.6,25.9
NPC1,V1,Up,0.109823665,5.32E-06,0.194553349,8.49E-05,22.4,23.0
KRAS,V1,Up,0.109716857,1.51E-08,0.000551754,6.18E-07,21.9,22.8
DENND3,V1,Up,0.10968416,0.001932411,1,0.009253504,32.6,36.1
STUB1,V1,Up,0.109615391,3.74E-05,1,0.000409873,12.5,11.7
CPNE1,V1,Up,0.109541962,2.73E-07,0.010004239,7.46E-06,16.6,17.8
ARL8B,V1,Up,0.109508477,0.008615972,1,0.029959593,24.4,26.3
COMMD2,V1,Up,0.109324664,0.005393662,1,0.02064317,12.9,12.6
ATP5PD,V1,Up,0.108795938,0.005165352,1,0.019882597,12.7,12.5
KANSL1,V1,Up,0.108773998,0.000670502,1,0.004032302,58.2,61.5
BORCS7,V1,Up,0.108655962,0.001834652,1,0.008878156,12.2,11.9
CLDND1,V1,Up,0.108575132,2.79E-06,0.102200475,5.18E-05,18.5,19.2
VPS28,V1,Up,0.108306097,0.006784773,1,0.024723649,15.1,14.8
SSR3,V1,Up,0.108291042,6.00E-07,0.021946491,1.45E-05,18.1,19.7
MLLT1,V1,Up,0.108221396,0.000619443,1,0.003789791,16.7,17.9
TWSG1,V1,Up,0.108015984,0.005721361,1,0.021619336,10.5,10.9
CCT6A,V1,Up,0.107935281,0.002559972,1,0.011545644,21.2,22.6
PSME2,V1,Up,0.107893206,6.71E-05,1,0.00065058,12.5,12.9
THUMPD3-AS1,V1,Up,0.107694174,0.020637005,1,0.059363447,21.3,23.4
PTTG1IP,V1,Up,0.107442314,9.64E-12,3.53E-07,7.82E-10,57.1,60.4
FGFR1,V1,Up,0.107420963,1.52E-07,0.005573348,4.60E-06,21,21.9
ARMCX3,V1,Up,0.107325271,0.001291579,1,0.006738333,14.5,14.6
SPEN,V1,Up,0.10730468,1.90E-06,0.069502657,3.75E-05,42.7,46.9
EIF4B,V1,Up,0.107156824,1.40E-07,0.005141024,4.33E-06,19.1,20.1
UBA1,V1,Up,0.107020822,0.018148409,1,0.053786834,16.6,16.9
FAM50A,V1,Up,0.106961867,0.000979355,1,0.005413922,12.3,12.2
RAB21,V1,Up,0.106880292,0.001807752,1,0.008780388,28.2,31.3
PTPN14,V1,Up,0.106831897,0.002332553,1,0.01071719,42.7,46.2
EIF1AX,V1,Up,0.106744596,0.000890062,1,0.005041262,26.1,27.7
MEF2D,V1,Up,0.106361207,0.001639243,1,0.008161737,11.1,11.0
MOB1A,V1,Up,0.10634058,1.41E-07,0.005152388,4.33E-06,17.4,18.0
DCLK1,V1,Up,0.106286715,3.28E-25,1.20E-20,9.89E-23,26.7,27.8
SLC25A3,V1,Up,0.106044715,0.000334001,1,0.00231776,25.1,26.8
CAPNS1,V1,Up,0.105576148,5.93E-06,0.217054975,9.25E-05,25,26.6
SSB,V1,Up,0.105434519,0.000354282,1,0.002426968,18.5,19.0
SPATS2L,V1,Up,0.105394965,5.61E-07,0.020524215,1.37E-05,38.2,42.9
SYCP2,V1,Up,0.105256392,3.26E-05,1,0.000364493,14.5,15.0
ZNF24,V1,Up,0.104948074,0.001221224,1,0.006468482,20.1,21.4
AC010260.1,V1,Up,0.104388038,0.000102908,1,0.000909928,11.3,10.6
SMURF2,V1,Up,0.104319938,3.71E-07,0.013593442,9.68E-06,40.6,45.2
PPIB,V1,Up,0.104311786,0.000723081,1,0.004276892,15.6,15.8
PPP1R15B,V1,Up,0.104012084,0.01083843,1,0.035812372,10.5,10.3
PDE4DIP,V1,Up,0.103953925,0.00119173,1,0.006346147,16.3,18.0
SKI,V1,Up,0.103900656,8.91E-09,0.000326258,3.90E-07,28.1,31.5
SNHG6,V1,Up,0.103359976,1.31E-06,0.048108814,2.76E-05,12.9,13.4
TPM1,V1,Up,0.102388593,2.61E-06,0.095451096,4.87E-05,57.2,61.6
TBC1D8,V1,Up,0.102248931,0.000245777,1,0.001819486,26.4,28.5
SNRPN,V1,Up,0.102232862,1.42E-06,0.051791363,2.93E-05,14.2,13.5
TPD52,V1,Up,0.101895062,0.010754162,1,0.035593383,11.9,10.8
NDUFS6,V1,Up,0.101744053,6.14E-05,1,0.000606636,15.8,15.9
SLC2A3,V1,Up,0.101735856,1.85E-08,0.000678943,7.36E-07,67.7,68.1
GCH1,V1,Up,0.101651461,2.37E-09,8.67E-05,1.20E-07,11.5,10.9
PRSS23,V1,Up,0.101351536,0.007714314,1,0.027363286,26.9,28.7
CNOT8,V1,Up,0.101307642,4.85E-05,1,0.000506386,39.3,42.8
MIR155HG,V1,Up,0.100931425,0.016768685,1,0.050575538,12.1,13.5
RNH1,V1,Up,0.100719112,0.016584375,1,0.05015034,13.6,14.1
SELENOH,V1,Up,0.100487344,0.000843797,1,0.004821166,20.6,21.3
VAMP2,V1,Up,0.100080027,2.26E-05,0.827126705,0.000269783,25.7,27.7
CTIF,V1,Down,-0.10006586,0.000105418,1,0.000927787,21.2,28.4
SLC25A36,V1,Down,-0.10020381,0.007381069,1,0.026446926,17.1,22.9
